Season,Month,Date,Flooding_phase,Pond,Day,Temp,DO,PH,Salinity,Turbidity,Chlor,G.spp,M.spp,S.spp,TLGM,Am,So,GGM,FF,EF,CFL,TSS,EGC,EE,EMS,C.spp,BW,P
Winter,February,09/02/2024,BF,LSP,1,9.6,8.76,8.06,0.11,71.80,1.94,95,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter,February,09/02/2024,BF,SSP,1,9.8,9.08,7.74,2.32,143.90,1.76,84,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter,February,12/02/2024,DF,LSP,2,9.8,9.08,7.95,4.46,51.40,1.61,285,76,56,2,6,0,0,0,0,0,0,0,1,0,0,0,0
Winter,February,12/02/2024,DF,SSP,2,9.1,8.92,8.16,3.7,85.18,1.95,101,2,62,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Winter,February,15/02/2024,AF,LSP,3,11.6,7.79,7.97,3.39,29.79,0.81,500,39,280,0,2,0,0,0,0,0,0,0,0,1,1,0,0
Winter,February,15/02/2024,AF,SSP,3,12.2,8.41,8.05,6.48,19.75,0.05,601,14,137,1,2,0,0,0,0,0,0,1,0,0,0,2,0
Winter,February,17/02/2024,REC,LSP,4,10.7,8.56,8.34,4.18,5.05,0.03,214,1,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Winter,February,17/02/2024,REC,SSP,4,12.4,9.27,8.26,3.51,44.48,1.82,406,13,110,0,2,0,0,0,0,0,2,0,0,1,0,0,0
Winter,March,09/03/2024,BF,LSP,5,7,10.4,8.46,1.46,80.84,4.1,105,9,92,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Winter,March,09/03/2024,BF,SSP,5,7.4,9.6,8.75,1.64,58.32,3.79,126,5,150,0,3,0,0,0,0,0,0,1,0,0,0,0,0
Winter,March,13/03/2024,DF,LSP,6,10.4,8.44,8.53,4.3,440.56,2.54,72,5,73,0,1,0,0,0,0,0,1,1,1,0,1,0,0
Winter,March,13/03/2024,DF,SSP,6,10.6,8.9,8.4,4.8,149.14,4.6,99,30,44,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Winter,March,15/03/2024,AF,LSP,7,11,8.49,7.84,5.06,122.07,2.23,109,34,103,1,3,0,0,0,0,0,0,1,0,0,1,0,0
Winter,March,15/03/2024,AF,SSP,7,11.3,8.78,8.35,4.49,58.75,1.3,94,42,60,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Winter,March,17/03/2024,REC,LSP,8,11.1,9.12,8.51,2.26,50.99,2.06,128,5,164,0,4,0,0,0,0,1,0,0,0,0,0,0,0
Winter,March,17/03/2024,REC,SSP,8,12.1,8.86,8.53,1.3,47.55,2.49,162,145,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring,April,07/04/2024,BF,LSP,9,12,10.1,8.59,2.49,184.76,3.11,55,5,107,1,3,0,0,0,0,0,0,0,1,0,0,0,0
Spring,April,07/04/2024,BF,SSP,9,12.2,9.04,8.57,2.17,47.85,1.84,181,13,221,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Spring,April,10/04/2024,DF,LSP,10,10.1,8.55,8.43,3.27,109.02,3.43,58,163,1094,4,5,0,0,0,1,0,0,2,0,0,0,1,0
Spring,April,10/04/2024,DF,SSP,10,9.9,8.05,8.38,4.21,139.95,1.64,193,3,458,0,1,0,0,0,0,0,0,6,0,0,0,0,0
Spring,April,12/04/2024,AF,LSP,11,11.2,6.29,8.36,3.91,272.80,0.51,78,2,1031,0,1,0,1,0,0,0,0,4,0,1,0,0,0
Spring,April,12/04/2024,AF,SSP,11,10.8,6.68,8.47,4.05,78.15,0.04,136,0,1140,0,3,0,0,0,0,0,0,7,0,0,0,0,0
Spring,April,14/04/2024,REC,LSP,12,8.5,5,8.48,4.17,188.01,1.86,34,1,108,0,0,0,0,9,1,0,0,0,0,0,0,14,1
Spring,April,14/04/2024,REC,SSP,12,8.3,2.56,8.46,3.18,73.50,0.06,50,1,257,0,5,0,0,1,0,0,0,6,0,1,0,7,0
Spring,May,07/05/2024,BF,LSP,13,15.5,6.86,8.07,4,3.35,0.04,79,54,716,2,3,0,0,0,113,0,0,4,0,0,0,3,0
Spring,May,07/05/2024,BF,SSP,13,24.5,8.21,8.57,5.56,9.69,0.05,35,17,198,0,9,0,0,0,15,0,0,14,0,0,0,1,0
Spring,May,09/05/2024,DF,LSP,14,14.9,13,8.56,5.81,10.76,0.03,4,1814,1150,4,4,0,0,0,18,0,0,6,0,0,0,6,0
Spring,May,09/05/2024,DF,SSP,14,21.2,7.54,8.64,3.64,27.18,0.05,2,0,450,0,10,0,0,0,9,0,1,16,0,0,0,0,0
Spring,May,10/05/2024,AF,LSP,15,17.5,4.5,7.68,5.62,13.41,1,0,5,806,2,3,1,0,0,36,0,0,7,0,0,0,2,0
Spring,May,10/05/2024,AF,SSP,15,16.7,4.23,8.32,5.04,13.32,0.05,0,4,729,0,28,2,0,0,1,0,3,10,0,0,0,1,1
Spring,May,12/05/2024,REC,LSP,16,18.1,4.43,8.17,6.34,59.92,0.12,1,25,348,5,3,0,0,0,53,0,1,5,0,0,0,6,0
Spring,May,12/05/2024,REC,SSP,16,19,4.01,8.25,5.02,114.35,0.11,0,173,139,18,4,3,0,0,0,0,1,12,0,0,0,2,0
Summer,July,23/07/2024,BF,LSP,17,16.4,8.7,7.64,7.5,490.24,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Summer,July,23/07/2024,BF,SSP,17,16.4,8.7,7.64,7.5,490.24,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Summer,July,24/07/2024,DF,LSP,18,17.5,8.46,8.16,7.05,167.15,3.22,8,0,196,34,5,0,0,0,0,0,0,1,0,62,0,0,0
Summer,July,24/07/2024,DF,SSP,18,16.8,8.54,8.35,7.49,496.51,1.71,1,0,12,0,0,0,0,0,0,0,0,3,0,9,0,0,0
Summer,July,25/07/2024,AF,LSP,19,16.9,6.98,8.27,7.26,327.79,0.72,19,0,96,104,0,0,0,0,0,0,1,1,0,28,0,1,0
Summer,July,25/07/2024,AF,SSP,19,17.1,7.97,8.24,8.46,367.99,0.3,1,0,225,86,0,0,0,0,0,0,0,6,0,4,0,0,0
Summer,July,27/07/2024,REC,LSP,20,23.4,7.19,7.77,7.72,85.73,0.04,51,5,294,0,0,0,0,0,0,0,0,7,0,53,0,0,0
Summer,July,27/07/2024,REC,SSP,20,21.4,6.94,8.5,8.61,182.25,0.05,1,3,338,1,0,0,0,0,0,0,0,4,0,6,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
